id;name;date;runhour
Filling 5 Line F5L1003;F UNV 5LINE AC;01/10/2018;685
Filling 5 Line F5L1003;F UNV 5LINE AC;02/10/2018;655
Filling 5 Line F5L1003;F UNV 5LINE AC;03/10/2018;720
Filling 5 Line F5L1003;F UNV 5LINE AC;04/10/2018;725
Filling 5 Line F5L1003;F UNV 5LINE AC;05/10/2018;540
Filling 5 Line F5L1003;F UNV 5LINE AC;06/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;07/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;08/10/2018;320
Filling 5 Line F5L1003;F UNV 5LINE AC;09/10/2018;1035
Filling 5 Line F5L1003;F UNV 5LINE AC;10/10/2018;900
Filling 5 Line F5L1003;F UNV 5LINE AC;11/10/2018;495
Filling 5 Line F5L1003;F UNV 5LINE AC;12/10/2018;810
Filling 5 Line F5L1003;F UNV 5LINE AC;13/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;14/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;15/10/2018;720
Filling 5 Line F5L1003;F UNV 5LINE AC;16/10/2018;935
Filling 5 Line F5L1003;F UNV 5LINE AC;17/10/2018;1040
Filling 5 Line F5L1003;F UNV 5LINE AC;18/10/2018;1075
Filling 5 Line F5L1003;F UNV 5LINE AC;19/10/2018;790
Filling 5 Line F5L1003;F UNV 5LINE AC;20/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;21/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;22/10/2018;650
Filling 5 Line F5L1003;F UNV 5LINE AC;23/10/2018;655
Filling 5 Line F5L1003;F UNV 5LINE AC;24/10/2018;570
Filling 5 Line F5L1003;F UNV 5LINE AC;25/10/2018;600
Filling 5 Line F5L1003;F UNV 5LINE AC;26/10/2018;455
Filling 5 Line F5L1003;F UNV 5LINE AC;27/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;28/10/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;29/10/2018;790
Filling 5 Line F5L1003;F UNV 5LINE AC;30/10/2018;745
Filling 5 Line F5L1003;F UNV 5LINE AC;31/10/2018;790
Filling 5 Line F5L1003;F UNV 5LINE AC;01/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;02/11/2018;940
Filling 5 Line F5L1003;F UNV 5LINE AC;03/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;04/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;05/11/2018;520
Filling 5 Line F5L1003;F UNV 5LINE AC;06/11/2018;920
Filling 5 Line F5L1003;F UNV 5LINE AC;07/11/2018;890
Filling 5 Line F5L1003;F UNV 5LINE AC;08/11/2018;965
Filling 5 Line F5L1003;F UNV 5LINE AC;09/11/2018;855
Filling 5 Line F5L1003;F UNV 5LINE AC;10/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;11/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;12/11/2018;935
Filling 5 Line F5L1003;F UNV 5LINE AC;13/11/2018;850
Filling 5 Line F5L1003;F UNV 5LINE AC;14/11/2018;1100
Filling 5 Line F5L1003;F UNV 5LINE AC;15/11/2018;980
Filling 5 Line F5L1003;F UNV 5LINE AC;16/11/2018;880
Filling 5 Line F5L1003;F UNV 5LINE AC;17/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;18/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;19/11/2018;740
Filling 5 Line F5L1003;F UNV 5LINE AC;20/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;21/11/2018;830
Filling 5 Line F5L1003;F UNV 5LINE AC;22/11/2018;1045
Filling 5 Line F5L1003;F UNV 5LINE AC;23/11/2018;935
Filling 5 Line F5L1003;F UNV 5LINE AC;24/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;25/11/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;26/11/2018;515
Filling 5 Line F5L1003;F UNV 5LINE AC;27/11/2018;1035
Filling 5 Line F5L1003;F UNV 5LINE AC;28/11/2018;910
Filling 5 Line F5L1003;F UNV 5LINE AC;29/11/2018;800
Filling 5 Line F5L1003;F UNV 5LINE AC;30/11/2018;840
Filling 5 Line F5L1003;F UNV 5LINE AC;01/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;02/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;03/12/2018;530
Filling 5 Line F5L1003;F UNV 5LINE AC;04/12/2018;495
Filling 5 Line F5L1003;F UNV 5LINE AC;05/12/2018;420
Filling 5 Line F5L1003;F UNV 5LINE AC;06/12/2018;430
Filling 5 Line F5L1003;F UNV 5LINE AC;07/12/2018;525
Filling 5 Line F5L1003;F UNV 5LINE AC;08/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;09/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;10/12/2018;220
Filling 5 Line F5L1003;F UNV 5LINE AC;11/12/2018;20
Filling 5 Line F5L1003;F UNV 5LINE AC;12/12/2018;635
Filling 5 Line F5L1003;F UNV 5LINE AC;13/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;14/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;15/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;16/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;17/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;18/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;19/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;20/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;21/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;22/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;23/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;24/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;25/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;26/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;27/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;28/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;29/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;30/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;31/12/2018;0
Filling 5 Line F5L1003;F UNV 5LINE AC;01/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;02/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;03/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;04/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;05/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;06/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;07/01/2019;115
Filling 5 Line F5L1003;F UNV 5LINE AC;08/01/2019;80
Filling 5 Line F5L1003;F UNV 5LINE AC;09/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;10/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;11/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;12/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;13/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;14/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;15/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;16/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;17/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;18/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;19/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;20/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;21/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;22/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;23/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;24/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;25/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;26/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;27/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;28/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;29/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;30/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;31/01/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;01/02/2019;550
Filling 5 Line F5L1003;F UNV 5LINE AC;02/02/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;03/02/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;04/02/2019;180
Filling 5 Line F5L1003;F UNV 5LINE AC;05/02/2019;0
Filling 5 Line F5L1003;F UNV 5LINE AC;06/02/2019;325
Filling 5 Line F5L1003;F UNV 5LINE AC;07/02/2019;110
Filling 5 Line F5L1003;F UNV 5LINE AC;08/02/2019;40
Filling 5 Line F5L1003;F UNV 5LINE AC;09/02/2019;0
